System	Name	Year	Players	Input	Buttons	Vertical	Manufacturers	Player Legends 2	Retro Arcade 2 Elites
arcade	Fantasy Zone	1986	2	joy8way	3	No	SEGA	No	Yes
arcade	Far East of Eden: Kabuki Klash	1995	2	joy8way	4	No	Hudson / Red Company	No	Yes
arcade	Fatal Fury 2	1992	2	joy8way	4	No	SNK	No	Yes
arcade	Fatal Fury Special	1993	2	joy8way	4	No	SNK	No	Yes
arcade	Final Fight	1989	2	joy8way	3	No	Capcom	Yes	Yes
arcade	Final Round, The	1988	2	joy8way	3	No	Konami	No	Yes
arcade	Flicky	1984	2	joy2way	1	No	SEGA	Yes	Yes
arcade	Flying Shark	1987	2	joy8way	2	Yes	Toaplan / Taito	Yes	Yes
arcade	Food Fight	1982	2	stick	1	No	General Computer Corporation / Atari license	No	Yes
arcade	Forgotten Worlds	1988	2	joy8way / dial	1	No	Capcom	Yes	Yes
arcade	Frogger	1981	2	joy4way	0	Yes	Konami	Yes	Yes
arcade	Front Line	1982	2	doublejoy8way	2	Yes	Taito	Yes	Yes
arcade	G.I. Joe	1992	4	joy8way	3	No	Konami	Yes	Yes
arcade	Galaga	1981	2	joy2way	1	Yes	Namco / Midway	Yes	Yes
arcade	Galaga '88	1987	2	joy8way	3	Yes	Namco	Yes	Yes
arcade	Galaxian	1979	2	joy2way	1	Yes	Namco	Yes	Yes
arcade	Galaxy Force 2	1988	1	stick	2	No	SEGA	Yes	Yes
arcade	Gang Busters	1988	2	joy8way	2	Yes	Konami	Yes	Yes
arcade	Gaplus	1984	2	joy8way	1	Yes	Namco	Yes	Yes
arcade	Garou: Mark of the Wolves	1999	2	joy8way	4	No	SNK	Yes	Yes
arcade	Gauntlet 2	1986	4	joy8way	2	No	Atari Games	Yes	Yes
arcade	Ghost Pilots	1991	2	joy8way	4	No	SNK	No	Yes
arcade	Ghosts'n Goblins	1985	2	joy8way	2	No	Capcom	Yes	Yes
arcade	Ghouls'n Ghosts	1988	2	joy4way	2	No	Capcom	Yes	Yes
arcade	Giga Wing	1999	2	joy8way	2	No	Takumi / Capcom	Yes	Yes
arcade	Gladiator	1986	2	joy8way	3	No	Allumer / Taito	Yes	Yes
arcade	Gladiator, The	2003	4	joy8way	4	No	IGS	Yes	Yes
arcade	Golden Axe (set 6, US)	1989	2	joy8way	3	No	SEGA	Yes	Yes
arcade	Golden Axe: The Revenge of Death Adder	1992	4	joy8way	3	No	SEGA	Yes	Yes
arcade	Golden Tee '99	1999	2	trackball	2	No	Incredible Technologies	No	Yes
arcade	Golden Tee Fore! 2006 Complete	2005	1	lightgun / trackball	4	No	Incredible Technologies	Yes	Yes
arcade	Gorf	1981	2	joy8way	1	Yes	Dave Nutting Associates / Midway	Yes	No
arcade	Gradius	1985	2	joy8way	3	No	Konami	No	Yes
arcade	Gradius 2: GOFER no Yabou	1988	2	joy8way	3	No	Konami	Yes	Yes
arcade	Great 1000 Miles Rally: U.S.A Version!	1994	2	joy8way / paddle / dial	2	No	Kaneko	No	Yes
arcade	Green Beret	1985	2	joy8way	2	No	Konami	Yes	Yes
arcade	Guerrilla War	1987	2	positional / joy8way	2	Yes	bootleg / SNK	Yes	Yes
arcade	Gun Force 2	1994	2	joy8way	2	No	Irem	No	Yes
arcade	Gun.Smoke	1985	2	joy8way	3	Yes	Capcom	Yes	Yes
arcade	Gunbird	1994	2	joy8way	3	Yes	Psikyo	No	Yes
arcade	Gunbird 2	1998	2	joy8way	3	Yes	Psikyo	No	Yes
arcade	Gundhara	1995	2	joy8way	3	Yes	Banpresto	No	Yes
arcade	Gunforce: Battle Fire Engulfed Terror Island	1991	2	joy8way	2	No	Irem	Yes	Yes
arcade	Gunlock	1993	4	joy8way / dial	4	Yes	Taito	No	Yes
arcade	Guwange	1999	2	joy8way	3	Yes	Cave / Atlus license	Yes	Yes
arcade	Gyruss	1983	2	joy2way	1	Yes	Konami	Yes	Yes
arcade	Hammerin' Harry	1990	2	joy8way	4	No	Irem	Yes	Yes
arcade	Hang-On	1985	1	pedal / paddle	0	No	SEGA	Yes	No
arcade	Haunted Castle	1988	2	joy4way	2	No	Konami	No	Yes
arcade	Heavy Barrel	1987	2	positional / joy8way	2	Yes	Data East	Yes	Yes
arcade	Hippodrome	1989	2	joy8way	2	No	Data East	Yes	Yes
arcade	Hot Chase	1988	1	pedal / paddle	2	No	Konami	No	Yes
arcade	Hyper Sports	1984	4	only_buttons	3	No	Konami / Centuri license	Yes	Yes
arcade	Hyper Street Fighter 2: The Anniversary Edition	2004	2	joy8way	6	No	Capcom	Yes	Yes
arcade	I, Robot	1983	1	stick	2	No	Atari	No	Yes
arcade	Ibara Kuro Black Label	2006	2	joy8way	4	Yes	Cave / AMI license	Yes	Yes
arcade	Ikari 3: The Rescue	1989	2	positional / joy8way	3	No	SNK	Yes	Yes
arcade	Ikari Warriors	1986	2	positional / joy8way	2	Yes	SNK	Yes	Yes
arcade	In The Hunt	1993	2	joy8way	2	No	Irem	Yes	Yes
arcade	Indiana Jones & the Temple of Doom	1985	1	joy8way	1	No	Atari Games / Atari	Yes	Yes
arcade	Iron Horse	1986	2	joy4way	3	No	Konami	Yes	Yes
arcade	Ironman Ivan Stewart's Super Off-Road Track-Pak	1989	3	pedal / dial	1	No	Leland Corporation	Yes	Yes
arcade	Jackal	1986	2	joy8way	2	Yes	Konami	Yes	Yes
arcade	Jail Break	1986	2	joy8way	2	No	Konami	Yes	Yes
arcade	JoJo no Kimyou na Bouken: Mirai e no Isan	1999	2	joy8way	6	No	Capcom	Yes	Yes
arcade	Joe & Mac Returns	1994	2	joy8way	3	No	Data East	No	Yes
arcade	Joust	1982	2	joy2way	1	No	Williams	Yes	Yes
arcade	Joust 2: Survival of the Fittest	1986	2	joy2way	2	Yes	Williams	No	Yes
arcade	Jungle King	1982	2	joy8way	1	No	Taito	Yes	Yes
arcade	Juno First	1983	2	joy8way	3	Yes	Konami	Yes	Yes
arcade	Kageki	1988	2	joy8way	2	Yes	Kaneko / Taito	Yes	Yes
arcade	Kangaroo	1982	2	joy8way	1	Yes	Sun Electronics / Sunsoft	Yes	Yes
arcade	Karate Champ	1984	2	doublejoy4way	0	Yes	Data East	Yes	Yes
arcade	Karnov	1987	2	joy8way	3	No	Data East	Yes	Yes
arcade	Ketsui: Kizuna Jigoku Tachi	2002	2	joy8way	3	Yes	Cave / AMI license	Yes	Yes
arcade	Kick & Run	1986	4	joy8way	2	No	Taito	Yes	Yes
arcade	Kicker	1985	2	joy4way	2	Yes	Konami	Yes	Yes
arcade	Killer Instinct	1994	2	joy8way	6	No	Rare / Midway license	Yes	Yes
arcade	Killer Instinct 2	1996	2	joy8way	6	No	Rare / Midway license	Yes	Yes
arcade	King of Dragons, The	1991	3	joy8way	2	No	Capcom	Yes	Yes
arcade	King of Fighters '95, The	1995	2	joy8way	4	No	SNK	No	Yes
arcade	King of Fighters '98, The: The Slugfest	1998	2	joy8way	4	No	SNK	Yes	Yes
arcade	King of Fighters '99, The: Millennium Battle	1999	2	joy8way	4	No	SNK	No	Yes
arcade	King of Fighters 2000, The	2000	2	joy8way	4	No	SNK	No	Yes
arcade	King of Fighters 2001, The	2001	2	joy8way	4	No	Eolith / SNK	No	Yes
arcade	King of Fighters 2002, The	2002	2	joy8way	4	No	Eolith / Playmore	Yes	Yes
arcade	King of Fighters 2003, The	2003	2	joy8way	4	No	SNK Playmore / SNK	No	Yes
arcade	King of the Monsters 2: The Next Thing	1992	2	joy8way	4	No	SNK	No	Yes
arcade	Kingdom Grandprix	1994	2	joy8way	3	Yes	Raizing / Eighting	No	Yes
arcade	Kizuna Encounter: Super Tag Battle	1996	2	joy8way	4	No	SNK	No	Yes
arcade	Klax	1989	2	joy4way	1	No	Atari Games / Atari	No	Yes
arcade	Knights of Valour	1999	4	joy8way	4	No	IGS	Yes	Yes
arcade	Knights of Valour 2	2000	4	joy8way	4	No	IGS	Yes	Yes
arcade	Knights of the Round	1991	3	joy8way	2	No	Capcom	Yes	Yes
arcade	Knuckle Joe	1985	2	joy8way	2	No	Seibu Kaihatsu / Taito	Yes	Yes
arcade	Kung-Fu Master	1984	2	joy8way	2	No	Irem	Yes	Yes
arcade	Kuri Kinton	1988	2	joy8way	2	No	Taito	Yes	Yes
arcade	Lady Bug	1981	2	joy4way	0	Yes	Universal	Yes	Yes
arcade	Last Blade 2, The	1998	2	joy8way	4	No	SNK	Yes	Yes
arcade	Last Blade, The	1997	2	joy8way	4	No	SNK	No	Yes
arcade	Last Duel	1988	2	joy8way	2	Yes	Capcom	Yes	Yes
arcade	Legend of Hero Tonma	1989	2	joy8way	4	No	Irem	Yes	Yes
arcade	Legend of Kage, The	1984	2	joy8way	2	No	Taito	Yes	Yes
arcade	Legendary Wings	1986	2	joy8way	2	Yes	Capcom	Yes	Yes
arcade	Lethal Enforcers	1992	2	lightgun	1	No	Konami	No	Yes
arcade	Lightning Fighters	1990	2	joy8way	3	Yes	Konami	No	Yes
arcade	Lode Runner: The Dig Fight	2000	4	joy8way	3	No	Psikyo	Yes	Yes
arcade	Lunar Lander	1979	1	pedal	3	No	Atari	Yes	No
arcade	Lunar Rescue	1979	2	joy2way	1	Yes	Taito	Yes	Yes
arcade	M.I.A.: Missing in Action	1989	2	joy8way	3	No	Konami	Yes	Yes
arcade	Mad Gear	1989	2	joy8way	3	Yes	Capcom	Yes	Yes
arcade	Mag Max	1985	2	joy8way	1	No	Nichibutsu	Yes	Yes
arcade	Magic Sword: Heroic Fantasy	1990	2	joy8way	3	No	Capcom	Yes	Yes
arcade	Magician Lord	1990	2	joy8way	4	No	Alpha Denshi Co. / ADK	No	Yes
arcade	Major Havoc	1983	2	only_buttons / dial	2	No	Atari	Yes	Yes
arcade	Major Title 2	1992	4	joy8way	2	No	Irem	No	Yes
arcade	Mappy	1983	2	joy2way	1	Yes	Namco	Yes	Yes
arcade	Marble Madness	1984	2	trackball	0	No	Atari Games / Atari	Yes	Yes
arcade	Mario Bros.	1983	2	joy2way	1	No	Nintendo	Yes	Yes
arcade	Mario Kart Arcade GP	2005	unknown	unknown	unknown	No	Namco / Nintendo	No	Yes
arcade	Mario Kart Arcade GP 2	2007	unknown	unknown	unknown	No	Namco / Nintendo	No	Yes
arcade	Mars Matrix: Hyper Solid Shooting	2000	2	joy8way	1	No	Takumi / Capcom	Yes	Yes
arcade	Martial Masters	2001	4	joy8way	4	No	IGS	No	Yes
arcade	Marvel Super Heroes	1995	2	joy8way	6	No	Capcom	Yes	Yes
